Account Name;Parent Account;Account Number;Parent Account Number;Is Group;Account Type;Root type;Account Currency
Desembolsos pendientes sobre participaciones a corto plazo en empresas del grupo;Desembolsos pendientes sobre participaciones a corto plazo en partes vinculadas;5393;539;1;;Liability;
Desembolsos pendientes sobre participaciones a corto plazo en empresas asociadas;Desembolsos pendientes sobre participaciones a corto plazo en partes vinculadas;5394;539;1;;Liability;
Desembolsos pendientes sobre participaciones a corto plazo en otras partes vinculadas;Desembolsos pendientes sobre participaciones a corto plazo en partes vinculadas;5395;539;1;;Liability;
Inversiones financieras a corto plazo en instrumentos de patrimonio;;540;;1;;Asset;
Valores representativos de deuda a corto plazo;;541;;1;;Asset;
Créditos a corto plazo;;542;;1;;Asset;
Créditos a corto plazo por enajenación de inmovilizado;;543;;1;;Asset;
Créditos a corto plazo al personal;;544;;1;;Asset;
Dividendo a cobrar;;545;;1;;Asset;
Intereses a corto plazo de valores representativos de deudas;;546;;1;;Asset;
Intereses a corto plazo de créditos;;547;;1;;Asset;
Imposiciones a corto plazo;;548;;1;;Asset;
Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo;;549;;1;;Asset;
Titular de la explotación;;550;;1;;Asset;
Cuenta corriente con socios y administradores;;551;;1;;Asset;
Cuenta corriente con otras personas y entidades vinculadas;;552;;1;;Asset;
Cuenta corriente con empresas del grupo;Cuenta corriente con otras personas y entidades vinculadas;5523;552;1;;Asset;
Cuenta corriente con empresas asociadas;Cuenta corriente con otras personas y entidades vinculadas;5524;552;1;;Asset;
Cuenta corriente con otras partes vinculadas;Cuenta corriente con otras personas y entidades vinculadas;5525;552;1;;Asset;
Cuentas corrientes en fusiones y escisiones;;553;;1;;Asset;
Socios de sociedad disuelta;Cuentas corrientes en fusiones y escisiones;5530;553;1;;Asset;
Socios, cuenta de fusión;Cuentas corrientes en fusiones y escisiones;5531;553;1;;Asset;
Socios de sociedad escindida;Cuentas corrientes en fusiones y escisiones;5532;553;1;;Asset;
Socios, cuenta de escisión;Cuentas corrientes en fusiones y escisiones;5533;553;1;;Asset;
Cuenta corriente con uniones temporales de empresas y comunidades de bienes;;554;;1;;Asset;
Partidas pendientes de aplicación;;555;;1;;Asset;
Desembolsos exigidos sobre participaciones en el patrimonio neto;;556;;1;;Asset;
Desembolsos exigidos sobre participaciones, empresas del grupo;Desembolsos exigidos sobre participaciones en el patrimonio neto;5563;556;1;;Asset;
Desembolsos exigidos sobre participaciones, empresas asociadas;Desembolsos exigidos sobre participaciones en el patrimonio neto;5564;556;1;;Asset;
Desembolsos exigidos sobre participaciones, otras partes vinculadas;Desembolsos exigidos sobre participaciones en el patrimonio neto;5565;556;1;;Asset;
Desembolsos exigidos sobre participaciones de otras empresas;Desembolsos exigidos sobre participaciones en el patrimonio neto;5566;556;1;;Asset;
Dividendo activo a cuenta;;557;;1;;Asset;
Socios por desembolsos exigidos;;558;;1;;Asset;
Socios por desembolsos exigidos sobre acciones o participaciones ordinarias;Socios por desembolsos exigidos;5580;558;1;;Asset;
Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros;Socios por desembolsos exigidos;5585;558;1;;Asset;
Derivados financieros a corto plazo;;559;;1;;Asset;
Activos por derivados financieros a corto plazo, cartera de negociación;Derivados financieros a corto plazo;5590;559;1;;Asset;
Activos por derivados financieros a corto plazo, instrumentos de cobertura;Derivados financieros a corto plazo;5593;559;1;;Asset;
Pasivos por derivados financieros a corto plazo, cartera de negociación;Derivados financieros a corto plazo;5595;559;1;;Asset;
Pasivos por derivados financieros a corto plazo, instrumentos de cobertura;Derivados financieros a corto plazo;5598;559;1;;Asset;
Fianzas recibidas a corto plazo;;560;;1;;Asset;
Depósitos recibidos a corto plazo;;561;;1;;Asset;
Fianzas constituidas a corto plazo;;565;;1;;Asset;
Depósitos constituidos a corto plazo;;566;;1;;Asset;
Intereses pagados por anticipado;;567;;1;;Asset;
Intereses cobrados por anticipado;;568;;1;;Asset;
Garantías financieras a corto plazo;;569;;1;;Asset;
Caja, euros;;570;;1;;Asset;
Caja, moneda extranjera;;571;;1;;Asset;
Bancos e instituciones de crédito c/c vista, euros;;572;;1;;Asset;
Bancos e instituciones de crédito c/c vista, moneda extranjera;;573;;1;;Asset;
Bancos e instituciones de crédito, cuentas de ahorro, euros;;574;;1;;Asset;
Bancos e instituciones de crédito, cuentas de ahorro, moneda extranjera;;575;;1;;Asset;
Inversiones a corto plazo de gran liquidez;;576;;1;;Asset;
Inmovilizado;;580;;1;;Asset;
Inversiones con personas y entidades vinculadas;;581;;1;;Asset;
Inversiones financieras;;582;;1;;Asset;
Existencias, deudores comerciales y otras cuentas a cobrar;;583;;1;;Asset;
Otros activos;;584;;1;;Asset;
Provisiones;;585;;1;;Asset;
Deudas con características especiales;;586;;1;;Asset;
Deudas con personas y entidades vinculadas;;587;;1;;Asset;
Acreedores comerciales y otras cuentas a pagar;;588;;1;;Asset;
Otros pasivos;;589;;1;;Asset;
Deterioro de valor de participaciones a corto plazo en partes vinculadas;;593;;1;;Asset;
Deterioro de valor de participaciones a corto plazo en empresas del grupo;Deterioro de valor de participaciones a corto plazo en partes vinculadas;5933;593;1;;Asset;
Deterioro de valor de participaciones a corto plazo en empresas asociadas;Deterioro de valor de participaciones a corto plazo en partes vinculadas;5934;593;1;;Asset;
Deterioro de valor de valores representativos de deuda a corto plazo de partes vinculadas;;594;;1;;Asset;
Deterioro de valor de valores representativos de deuda a corto plazo de empresas del grupo;Deterioro de valor de valores representativos de deuda a corto plazo de partes vinculadas;5943;594;1;;Asset;
Deterioro de valor de valores representativos de deuda a corto plazo de empresas asociadas;Deterioro de valor de valores representativos de deuda a corto plazo de partes vinculadas;5944;594;1;;Asset;
Deterioro de valor de valores representativos de deuda a corto plazo de otras partes vinculadas;Deterioro de valor de valores representativos de deuda a corto plazo de partes vinculadas;5945;594;1;;Asset;
Deterioro de valor de créditos a corto plazo a partes vinculadas;;595;;1;;Asset;
Deterioro de valor de créditos a corto plazo a empresas del grupo;Deterioro de valor de créditos a corto plazo a partes vinculadas;5953;595;1;;Asset;
Deterioro de valor de créditos a corto plazo a empresas asociadas;Deterioro de valor de créditos a corto plazo a partes vinculadas;5954;595;1;;Asset;
Deterioro de valor de créditos a corto plazo a otras partes vinculadas;Deterioro de valor de créditos a corto plazo a partes vinculadas;5955;595;1;;Asset;
Deterioro de valor de valores representativos de deuda a corto plazo;;597;;1;;Asset;
Deterioro de valor de créditos a corto plazo;;598;;1;;Asset;
Deterioro de valor de activos no corrientes mantenidos para la venta;;599;;1;;Asset;
Deterioro de valor de inmovilizado no corriente mantenido para la venta;Deterioro de valor de activos no corrientes mantenidos para la venta;5990;599;1;;Asset;
Deterioro de valor de inversiones con personas y entidades vinculadas no corrientes mantenidas para la venta;Deterioro de valor de activos no corrientes mantenidos para la venta;5991;599;1;;Asset;
Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta;Deterioro de valor de activos no corrientes mantenidos para la venta;5992;599;1;;Asset;
Deterioro valor existencias, deudores comerciales y otras cuentas a cobrar en grupo enajenable mantenido para la venta;Deterioro de valor de activos no corrientes mantenidos para la venta;5993;599;1;;Asset;
Deterioro de valor de otros activos mantenidos para la venta;Deterioro de valor de activos no corrientes mantenidos para la venta;5994;599;1;;Asset;
Compras de mercaderías;;600;;1;;Expense;
Compras de materias primas;;601;;1;;Expense;
Compras de otros aprovisionamientos;;602;;1;;Expense;
Descuentos sobre compras por pronto pago;;606;;1;;Expense;
Descuentos sobre compras por pronto pago de mercaderías;Descuentos sobre compras por pronto pago;6060;606;1;;Expense;
Descuentos sobre compras por pronto pago de materias primas;Descuentos sobre compras por pronto pago;6061;606;1;;Expense;
Descuentos sobre compras por pronto pago de otros aprovisionamientos;Descuentos sobre compras por pronto pago;6062;606;1;;Expense;
Trabajos realizados por otras empresas;;607;;1;;Expense;
Devoluciones de compras y operaciones similares;;608;;1;;Expense;
Devoluciones de compras de mercaderías;Devoluciones de compras y operaciones similares;6080;608;1;;Expense;
Devoluciones de compras de materias primas;Devoluciones de compras y operaciones similares;6081;608;1;;Expense;
Devoluciones de compras de otros aprovisionamientos;Devoluciones de compras y operaciones similares;6082;608;1;;Expense;
“Rappels” por compras;;609;;1;;Expense;
“Rappels” por compras de mercaderías;“Rappels” por compras;6090;609;1;;Expense;
“Rappels” por compras de materias primas;“Rappels” por compras;6091;609;1;;Expense;
“Rappels” por compras de otros aprovisionamientos;“Rappels” por compras;6092;609;1;;Expense;
Variación de existencias de mercaderías;;610;;1;;Expense;
Variación de existencias de materias primas;;611;;1;;Expense;
Variación de existencias de otros aprovisionamientos;;612;;1;;Expense;
Gastos en investigación y desarrollo del ejercicio;;620;;1;;Expense;
Arrendamientos y cánones;;621;;1;;Expense;
Reparaciones y conservación;;622;;1;;Expense;
Servicios de profesionales independientes;;623;;1;;Expense;
Transportes;;624;;1;;Expense;
Primas de seguros;;625;;1;;Expense;
Servicios bancarios y similares;;626;;1;;Expense;
Publicidad, propaganda y relaciones públicas;;627;;1;;Expense;
Suministros;;628;;1;;Expense;
Otros servicios;;629;;1;;Expense;
Impuesto sobre beneficios;;630;;1;;Expense;
Impuesto corriente;Impuesto sobre beneficios;6300;630;1;;Expense;
Impuesto diferido;Impuesto sobre beneficios;6301;630;1;;Expense;
Otros tributos;;631;;1;;Expense;
Ajustes negativos en la imposición sobre be neficios;;633;;1;;Expense;
Ajustes negativos en la imposición indirecta;;634;;1;;Expense;
Ajustes negativos en IVA de activo corriente;Ajustes negativos en la imposición indirecta;6341;634;1;;Expense;
Ajustes negativos en IVA de inversiones;Ajustes negativos en la imposición indirecta;6342;634;1;;Expense;
Devolución de impuestos;;636;;1;;Expense;
Ajustes positivos en la imposición sobre beneficios;;638;;1;;Expense;
Ajustes positivos en la imposición indirecta;;639;;1;;Expense;
Ajustes positivos en IVA de activo corriente;Ajustes positivos en la imposición indirecta;6391;639;1;;Expense;
Ajustes positivos en IVA de inversiones;Ajustes positivos en la imposición indirecta;6392;639;1;;Expense;
Sueldos y salarios;;640;;1;;Expense;
Indemnizaciones;;641;;1;;Expense;
Seguridad Social a cargo de la empresa;;642;;1;;Expense;
Retribuciones a largo plazo mediante sistemas de aportación definida;;643;;1;;Expense;
Retribuciones a largo plazo mediante sistemas de prestación definida;;644;;1;;Expense;
Contribuciones anuales;Retribuciones a largo plazo mediante sistemas de prestación definida;6440;644;1;;Expense;
Otros costes;Retribuciones a largo plazo mediante sistemas de prestación definida;6442;644;1;;Expense;
Retribuciones al personal mediante instrumentos de patrimonio;;645;;1;;Expense;
Retribuciones al personal liquidados con instrumentos de patrimonio;Retribuciones al personal mediante instrumentos de patrimonio;6450;645;1;;Expense;
Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio;Retribuciones al personal mediante instrumentos de patrimonio;6457;645;1;;Expense;
Otros gastos sociales;;649;;1;;Expense;
Pérdidas de créditos comerciales incobrables;;650;;1;;Expense;
Resultados de operaciones en común;;651;;1;;Expense;
Beneficio transferido (gestor);Resultados de operaciones en común;6510;651;1;;Expense;
Pérdida soportada (partícipe o asociado no gestor);Resultados de operaciones en común;6511;651;1;;Expense;
Otras pérdidas en gestión corriente;;659;;1;;Expense;
Gastos financieros por actualización de provisiones;;660;;1;;Expense;
Intereses de obligaciones y bonos;;661;;1;;Expense;
Intereses de obligaciones y bonos a largo plazo, empresas del grupo;Intereses de obligaciones y bonos;6610;661;1;;Expense;
Intereses de obligaciones y bonos a largo plazo, empresas asociadas;Intereses de obligaciones y bonos;6611;661;1;;Expense;
Intereses de obligaciones y bonos a largo plazo, otras partes vinculadas;Intereses de obligaciones y bonos;6612;661;1;;Expense;
Intereses de obligaciones y bonos a largo plazo, otras empresas;Intereses de obligaciones y bonos;6613;661;1;;Expense;
Intereses de obligaciones y bonos a corto plazo, empresas del grupo;Intereses de obligaciones y bonos;6615;661;1;;Expense;
Intereses de obligaciones y bonos a corto plazo, empresas asociadas;Intereses de obligaciones y bonos;6616;661;1;;Expense;
Intereses de obligaciones y bonos a corto plazo, otras partes vinculadas;Intereses de obligaciones y bonos;6617;661;1;;Expense;
Intereses de obligaciones y bonos a corto plazo, otras empresas;Intereses de obligaciones y bonos;6618;661;1;;Expense;
Intereses de deudas;;662;;1;;Expense;
Intereses de deudas, empresas del grupo;Intereses de deudas;6620;662;1;;Expense;
Intereses de deudas, empresas asociadas;Intereses de deudas;6621;662;1;;Expense;
Intereses de deudas, otras partes vinculadas;Intereses de deudas;6622;662;1;;Expense;
Intereses de deudas con entidades de crédito;Intereses de deudas;6623;662;1;;Expense;
Intereses de deudas, otras empresas;Intereses de deudas;6624;662;1;;Expense;
Pérdidas por valoración de instrumentos financieros por su valor razonable;;663;;1;;Expense;
Pérdidas de cartera de negociación;Pérdidas por valoración de instrumentos financieros por su valor razonable;6630;663;1;;Expense;
Pérdidas de designados por la empresa;Pérdidas por valoración de instrumentos financieros por su valor razonable;6631;663;1;;Expense;
Pérdidas de disponibles para la venta;Pérdidas por valoración de instrumentos financieros por su valor razonable;6632;663;1;;Expense;
Pérdidas de instrumentos de cobertura;Pérdidas por valoración de instrumentos financieros por su valor razonable;6633;663;1;;Expense;
Gastos por dividendos de acciones o participaciones consideradas como pasivos financieros;;664;;1;;Expense;
Dividendos de pasivos, empresas del grupo;Gastos por dividendos de acciones o participaciones consideradas como pasivos financieros;6640;664;1;;Expense;
Dividendos de pasivos, empresas asociadas;Gastos por dividendos de acciones o participaciones consideradas como pasivos financieros;6641;664;1;;Expense;
Dividendos de pasivos, otras partes vinculadas;Gastos por dividendos de acciones o participaciones consideradas como pasivos financieros;6642;664;1;;Expense;
Dividendos de pasivos, otras empresas;Gastos por dividendos de acciones o participaciones consideradas como pasivos financieros;6643;664;1;;Expense;
Intereses por descuento de efectos y operaciones de “factoring”;;665;;1;;Expense;
Intereses por descuento de efectos en entidades de crédito del grupo;Intereses por descuento de efectos y operaciones de “factoring”;6650;665;1;;Expense;
Intereses por descuento de efectos en entidades de crédito asociadas;Intereses por descuento de efectos y operaciones de “factoring”;6651;665;1;;Expense;
Intereses por descuento de efectos en otras entidades de crédito vinculadas;Intereses por descuento de efectos y operaciones de “factoring”;6652;665;1;;Expense;
Intereses por descuento de efectos en otras entidades de crédito;Intereses por descuento de efectos y operaciones de “factoring”;6653;665;1;;Expense;
Intereses por operaciones de “factoring” con entidades de crédito del grupo;Intereses por descuento de efectos y operaciones de “factoring”;6654;665;1;;Expense;
Intereses por operaciones de “factoring” con entidades de crédito asociadas;Intereses por descuento de efectos y operaciones de “factoring”;6655;665;1;;Expense;
Intereses por operaciones de “factoring” con otras entidades de crédito vinculadas;Intereses por descuento de efectos y operaciones de “factoring”;6656;665;1;;Expense;
Intereses por operaciones de “factoring” con otras entidades de crédito;Intereses por descuento de efectos y operaciones de “factoring”;6657;665;1;;Expense;
Pérdidas en participaciones y valores representativos de deuda;;666;;1;;Expense;
Pérdidas en valores representativos de deuda a largo plazo, empresas del grupo;Pérdidas en participaciones y valores representativos de deuda;6660;666;1;;Expense;
Pérdidas en valores representativos de deuda a largo plazo, empresas asociadas;Pérdidas en participaciones y valores representativos de deuda;6661;666;1;;Expense;
Pérdidas en valores representativos de deuda a largo plazo, otras partes vinculadas;Pérdidas en participaciones y valores representativos de deuda;6662;666;1;;Expense;
Pérdidas en participaciones y valores representativos de deuda a largo plazo, otras empresas;Pérdidas en participaciones y valores representativos de deuda;6663;666;1;;Expense;
Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas del grupo;Pérdidas en participaciones y valores representativos de deuda;6665;666;1;;Expense;
Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas asociadas;Pérdidas en participaciones y valores representativos de deuda;6666;666;1;;Expense;
Pérdidas en valores representativos de deuda a corto plazo, otras partes vinculadas;Pérdidas en participaciones y valores representativos de deuda;6667;666;1;;Expense;
Pérdidas en valores representativos de deuda a corto plazo, otras empresas;Pérdidas en participaciones y valores representativos de deuda;6668;666;1;;Expense;
Pérdidas de créditos no comerciales;;667;;1;;Expense;
Pérdidas de créditos a largo plazo, empresas del grupo;Pérdidas de créditos no comerciales;6670;667;1;;Expense;
Pérdidas de créditos a largo plazo, empresas asociadas;Pérdidas de créditos no comerciales;6671;667;1;;Expense;
Pérdidas de créditos a largo plazo, otras partes vinculadas;Pérdidas de créditos no comerciales;6672;667;1;;Expense;
Pérdidas de créditos a largo plazo, otras empresas;Pérdidas de créditos no comerciales;6673;667;1;;Expense;
Pérdidas de créditos a corto plazo, empresas del grupo;Pérdidas de créditos no comerciales;6675;667;1;;Expense;
Pérdidas de créditos a corto plazo, empresas asociadas;Pérdidas de créditos no comerciales;6676;667;1;;Expense;
Pérdidas de créditos a corto plazo, otras partes vinculadas;Pérdidas de créditos no comerciales;6677;667;1;;Expense;
Pérdidas de créditos a corto plazo, otras empresas;Pérdidas de créditos no comerciales;6678;667;1;;Expense;
Diferencias negativas de cambio;;668;;1;;Expense;
Otros gastos financieros;;669;;1;;Expense;
Pérdidas procedentes del inmovilizado intangible;;670;;1;;Expense;
Pérdidas procedentes del inmovilizado material;;671;;1;;Expense;
Pérdidas procedentes de las inversiones inmobiliarias;;672;;1;;Expense;
Pérdidas procedentes de participaciones a largo plazo en partes vinculadas;;673;;1;;Expense;
Pérdidas procedentes de participaciones a largo plazo, empresas del grupo;Pérdidas procedentes de participaciones a largo plazo en partes vinculadas;6733;673;1;;Expense;
Pérdidas procedentes de participaciones a largo plazo, empresas asociadas;Pérdidas procedentes de participaciones a largo plazo en partes vinculadas;6734;673;1;;Expense;
Pérdidas procedentes de participaciones a largo plazo, otras partes vinculadas;Pérdidas procedentes de participaciones a largo plazo en partes vinculadas;6735;673;1;;Expense;
Pérdidas por operaciones con obli gaciones propias;;675;;1;;Expense;
Gastos excepcionales;;678;;1;;Expense;
Amortización del inmovilizado intangible;;680;;1;;Expense;
Amortización del inmovilizado material;;681;;1;;Expense;
Amortización de las inversiones inmobiliarias;;682;;1;;Expense;
Pérdidas por deterioro del inmovilizado intangible;;690;;1;;Expense;
Pérdidas por deterioro del inmovilizado material;;691;;1;;Expense;
Pérdidas por deterioro de las inversiones inmobiliarias;;692;;1;;Expense;
Pérdidas por deterioro de existencias;;693;;1;;Expense;
Pérdidas por deterioro de productos terminados y en curso de fabricación;Pérdidas por deterioro de existencias;6930;693;1;;Expense;
Pérdidas por deterioro de mercaderías;Pérdidas por deterioro de existencias;6931;693;1;;Expense;
Pérdidas por deterioro de materias primas;Pérdidas por deterioro de existencias;6932;693;1;;Expense;
Pérdidas por deterioro de otros aprovisionamientos;Pérdidas por deterioro de existencias;6933;693;1;;Expense;
Pérdidas por deterioro de créditos por operaciones comerciales;;694;;1;;Expense;
Dotación a la provisión por operaciones comerciales;;695;;1;;Expense;
Dotación a la provisión por contratos onerosos;Dotación a la provisión por operaciones comerciales;6954;695;1;;Expense;
Dotación a la provisión para otras operaciones comerciales;Dotación a la provisión por operaciones comerciales;6959;695;1;;Expense;
Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;;696;;1;;Expense;
Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6960;696;1;;Expense;
Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6961;696;1;;Expense;
Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6962;696;1;;Expense;
Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6963;696;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas del grupo;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6965;696;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas asociadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6966;696;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a largo plazo, otras partes vinculadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6967;696;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a largo plazo, de otras empresas;Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo;6968;696;1;;Expense;
Pérdidas por deterioro de créditos a largo plazo;;697;;1;;Expense;
Pérdidas por deterioro de créditos a largo plazo, empresas del grupo;Pérdidas por deterioro de créditos a largo plazo;6970;697;1;;Expense;
Pérdidas por deterioro de créditos a largo plazo, empresas asociadas;Pérdidas por deterioro de créditos a largo plazo;6971;697;1;;Expense;
Pérdidas por deterioro de créditos a largo plazo, otras partes vinculadas;Pérdidas por deterioro de créditos a largo plazo;6972;697;1;;Expense;
Pérdidas por deterioro de créditos a largo plazo, otras empresas;Pérdidas por deterioro de créditos a largo plazo;6973;697;1;;Expense;
Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;;698;;1;;Expense;
Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo;Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;6980;698;1;;Expense;
Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;6981;698;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas del grupo;Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;6985;698;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas asociadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;6986;698;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a corto plazo, otras partes vinculadas;Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;6987;698;1;;Expense;
Pérdidas por deterioro en valores representativos de deuda a corto plazo, de otras empresas;Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo;6988;698;1;;Expense;
Pérdidas por deterioro de créditos a corto plazo;;699;;1;;Expense;
Pérdidas por deterioro de créditos a corto plazo, empresas del grupo;Pérdidas por deterioro de créditos a corto plazo;6990;699;1;;Expense;
Pérdidas por deterioro de créditos a corto plazo, empresas asociadas;Pérdidas por deterioro de créditos a corto plazo;6991;699;1;;Expense;
Pérdidas por deterioro de créditos a corto plazo, otras partes vinculadas;Pérdidas por deterioro de créditos a corto plazo;6992;699;1;;Expense;
Pérdidas por deterioro de créditos a corto plazo, otras empresas;Pérdidas por deterioro de créditos a corto plazo;6993;699;1;;Expense;
Ventas de mercaderías;;700;;1;;Income;
Ventas de productos terminados;;701;;1;;Income;
Ventas de productos semiterminados;;702;;1;;Income;
Ventas de subproductos y residuos;;703;;1;;Income;
Ventas de envases y embalajes;;704;;1;;Income;
Prestaciones de servicios;;705;;1;;Income;
Descuentos sobre ventas por pronto pago;;706;;1;;Income;
Descuentos sobre ventas por pronto pago de mercaderías;Descuentos sobre ventas por pronto pago;7060;706;1;;Income;
Descuentos sobre ventas por pronto pago de productos terminados;Descuentos sobre ventas por pronto pago;7061;706;1;;Income;
Descuentos sobre ventas por pronto pago de productos semiterminados;Descuentos sobre ventas por pronto pago;7062;706;1;;Income;
Descuentos sobre ventas por pronto pago de subproductos y residuos;Descuentos sobre ventas por pronto pago;7063;706;1;;Income;
Devoluciones de ventas y operaciones similares;;708;;1;;Income;
Devoluciones de ventas de mercaderías;Devoluciones de ventas y operaciones similares;7080;708;1;;Income;
Devoluciones de ventas de productos terminados;Devoluciones de ventas y operaciones similares;7081;708;1;;Income;
Devoluciones de ventas de productos semiterminados;Devoluciones de ventas y operaciones similares;7082;708;1;;Income;
Devoluciones de ventas de subproductos y residuos;Devoluciones de ventas y operaciones similares;7083;708;1;;Income;
Devoluciones de ventas de envases y embalajes;Devoluciones de ventas y operaciones similares;7084;708;1;;Income;
“Rappels” sobre ventas;;709;;1;;Income;
«Rappels» sobre ventas de mercaderías;“Rappels” sobre ventas;7090;709;1;;Income;
“Rappels” sobre ventas de productos terminados;“Rappels” sobre ventas;7091;709;1;;Income;
“Rappels” sobre ventas de productos semiterminados;“Rappels” sobre ventas;7092;709;1;;Income;
“Rappels” sobre ventas de subproductos y residuos;“Rappels” sobre ventas;7093;709;1;;Income;
“Rappels” sobre ventas de envases y embalajes;“Rappels” sobre ventas;7094;709;1;;Income;
Variación de existencias de productos en curso;;710;;1;;Income;
Variación de existencias de productos semiterminados;;711;;1;;Income;
Variación de existencias de productos terminados;;712;;1;;Income;
Variación de existencias de subproductos, residuos y materiales recuperados;;713;;1;;Income;
Trabajos realizados para el inmovilizado intangible;;730;;1;;Income;
Trabajos realizados para el inmovilizado material;;731;;1;;Income;
Trabajos realizados en inversiones inmobiliarias;;732;;1;;Income;
Trabajos realizados para el inmovilizado material en curso;;733;;1;;Income;
Subvenciones, donaciones y legados a la explotación;;740;;1;;Income;
Subvenciones, donaciones y legados de capital transferidos al resultado del ejercicio;;746;;1;;Income;
Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio;;747;;1;;Income;
Resultados de operaciones en común;;751;;1;;Income;
Pérdida transferida (gestor);Resultados de operaciones en común;7510;751;1;;Income;
Beneficio atribuido (partícipe o asociado no gestor);Resultados de operaciones en común;7511;751;1;;Income;
Ingresos por arrendamientos;;752;;1;;Income;
Ingresos de propiedad industrial cedida en explotación;;753;;1;;Income;
Ingresos por comisiones;;754;;1;;Income;
Ingresos por servicios al personal;;755;;1;;Income;
Ingresos por servicios diversos;;759;;1;;Income;
Ingresos de participaciones en instrumentos de patrimonio;;760;;1;;Income;
Ingresos de participaciones en instrumentos de patrimonio, empresas del grupo;Ingresos de participaciones en instrumentos de patrimonio;7600;760;1;;Income;
Ingresos de participaciones en instrumentos de patrimonio, empresas asociadas;Ingresos de participaciones en instrumentos de patrimonio;7601;760;1;;Income;
Ingresos de participaciones en instrumentos de patrimonio, otras partes vinculadas;Ingresos de participaciones en instrumentos de patrimonio;7602;760;1;;Income;
Ingresos de participaciones en instrumentos de patrimonio, otras empresas;Ingresos de participaciones en instrumentos de patrimonio;7603;760;1;;Income;
Ingresos de valores representativos de deuda;;761;;1;;Income;
Ingresos de valores representativos de deuda, empresas del grupo;Ingresos de valores representativos de deuda;7610;761;1;;Income;
Ingresos de valores representativos de deuda, empresas asociadas;Ingresos de valores representativos de deuda;7611;761;1;;Income;
Ingresos de valores representativos de deuda, otras partes vinculadas;Ingresos de valores representativos de deuda;7612;761;1;;Income;
Ingresos de valores representativos de deuda, otras empresas;Ingresos de valores representativos de deuda;7613;761;1;;Income;
Ingresos de créditos;;762;;1;;Income;
Ingresos de créditos a largo plazo;Ingresos de créditos;7620;762;1;;Income;
Ingresos de créditos a largo plazo, empresas del grupo;Ingresos de créditos a largo plazo;76200;7620;1;;Income;
Ingresos de créditos a largo plazo, empresas asociadas;Ingresos de créditos a largo plazo;76201;7620;1;;Income;
Ingresos de créditos a largo plazo, otras partes vinculadas;Ingresos de créditos a largo plazo;76202;7620;1;;Income;
Ingresos de créditos a largo plazo, otras empresas;Ingresos de créditos a largo plazo;76203;7620;1;;Income;
Ingresos de créditos a corto plazo;Ingresos de créditos;7621;762;1;;Income;
Ingresos de créditos a corto plazo, empresas del grupo;Ingresos de créditos a corto plazo;76210;7621;1;;Income;
Ingresos de créditos a corto plazo, empresas asociadas;Ingresos de créditos a corto plazo;76211;7621;1;;Income;
Ingresos de créditos a corto plazo, otras partes vinculadas;Ingresos de créditos a corto plazo;76212;7621;1;;Income;
Ingresos de créditos a corto plazo, otras empresas;Ingresos de créditos a corto plazo;76213;7621;1;;Income;
